—No me fijé —dijo Myrtle con afectación—.,"-I didn't notice,"" said Myrtle pretentiously.",,,,,
—No le digas a Molly ni media palabra —susurró a Harry al abrir el maletero y enseñarle cómo lo había ensanchado mágicamente para que pudieran caber los baúles con toda facilidad.,"-Don't say a word to Molly,"" he/she whispered to Harry as she opened the boot and showed him how he/she had magically widened it so that the trunks (boxes) could fit easily.",,,,baúl can also be boot of car,
Snape le había mandado limpiar los gusanos de los pupitres.,Snape had ordered him to clean the worms from the desks.,,,,,
fantasmas enfurecidos,angry ghosts,,,enfurecer is to enrage/madden,,
—Procura que tu mamá no te oiga hablar sobre mi colegio —contestó Harry con frialdad.,"-Make sure your mum doesn't hear you talking about my school,"" Harry replied coolly.",,,,,
—¿Por qué miras el seto? —preguntó con recelo.,-Why are you looking at the hedge? -he asked suspiciously.,,,receloso,el recelo is suspicion/apprehension/mistrust,
pero aun así ella intentó pegarle en la cabeza con la sartén que tenía a medio enjabonar y Harry tuvo que esquivar el golpe.,but she still tried to hit him over the head with the half-soaped frying pan and Harry had to dodge the blow.,,,,,
"Al pasar, le abrasaba la boca y la garganta, haciéndole toser y resoplar.","As it passed, it burned his mouth and throat, making him cough and wheeze.",,,,resoplar also puff/pant/snort,
"Harry sabía que <b>no tenía que haber picado el anzuelo de Dudley</b>, pero éste le había dicho exactamente lo mismo que él estaba pensando..., que quizá tampoco en Hogwarts tuviera amigos.",he shouldn't have taken Dudley's bait,,,,anzuelo also hook/fish hook,
Fue un alivio para Harry entrar en la sombra de la reluciente cocina.,It was a relief for Harry to step into the shadow of the gleaming kitchen.,,,,,
un montículo de nata,a mound of cream,,,,also hump/hillock,
Tío Vernon entró de sopetón en la cocina y halló a Harry paralizado por el susto.,Uncle Vernon burst into the kitchen and found Harry paralysed with shock.,,,,de sopetón also unexpectedly/suddenly\nentrar de sopetón can also be pop in/drop in,
un pedazo de queso,a piece of cheese,,,,,
"Llevaba sombrero de fiesta de color naranja brillante, <b>pajarita giratoria</b> y exhibía una gran sonrisa en su cara ancha y malvada.",revolving bow tie,,,,,
había una puerta entornada,there was a door ajar,,,,,
"La masa de alumnos se aclaró, y consiguieron subir sin dificultad al siguiente rellano.","The mass of pupils cleared, and they managed to get up to the next landing without difficulty.",,,,,
